"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for April 2022"
"Prepared at 13:02 UTC on Thursday 18 August 2022   IDCJDW5081.202204"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-04-1,11.2,23.5,0,,,ESE,41,09:47,14.2,62,,SSE,11,1027.0,22.2,30,,E,15,1022.9
,2022-04-2,12.3,22.6,0,,,SE,31,17:52,15.3,58,,S,4,1024.0,22.0,33,,SE,9,1019.0
,2022-04-3,12.9,22.9,0,,,WSW,31,14:29,20.8,50,,WSW,6,1017.0,22.1,40,,WSW,17,1014.1
,2022-04-4,10.5,24.1,0,,,SW,24,13:17,18.1,58,,NW,4,1016.7,22.8,35,,SSW,9,1015.0
,2022-04-5,9.8,23.7,0,,,SW,28,12:36,21.5,43,, ,Calm,1016.2,21.6,42,,S,11,1016.1
,2022-04-6,14.7,22.0,5.2,,,S,35,15:56,17.1,68,,SSE,6,1019.7,20.4,53,,SSE,13,1018.3
,2022-04-7,14.4,23.3,0,,,SSE,31,09:01,18.2,62,,SSE,17,1023.3,22.5,46,,S,17,1020.0
,2022-04-8,13.7,27.0,0,,,W,31,13:51,22.3,50,,NNE,7,1021.0,24.9,47,,SW,9,1016.8
,2022-04-9,15.8,28.8,0,,,ENE,24,00:52,21.3,54,,NNE,9,1017.2,28.1,31,,NNW,11,1013.4
,2022-04-10,19.4,31.0,0,,,W,35,14:34,25.0,32,,NNE,11,1016.4,24.5,42,,SW,17,1015.9
,2022-04-11,16.7,24.2,0,,,E,26,23:21,19.0,62,,NNE,2,1021.5,22.9,45,,SSE,11,1020.0
,2022-04-12,15.7,23.3,0,,,E,30,04:56,19.5,42,,E,6,1023.1,21.4,46,,WSW,11,1021.7
,2022-04-13,14.1,27.6,0,,,NE,31,07:48,19.4,35,,ENE,11,1022.6,25.5,31,,SW,9,1019.4
,2022-04-14,17.4,24.6,0,,,NE,28,01:15,22.1,25,,NNE,11,1021.2,23.2,30,,SW,9,1020.1
,2022-04-15,16.5,26.7,0.2,,,WSW,28,13:26,19.6,62,, ,Calm,1021.0,24.3,48,,SW,15,1018.7
,2022-04-16,13.9,29.5,0,,,NE,20,23:17,21.8,61,,NE,2,1018.6,28.7,27,,W,13,1014.4
,2022-04-17,21.8,25.5,0,,,NE,31,02:43,22.3,43,,N,11,1012.3,19.5,79,,SW,6,1010.7
,2022-04-18,15.8,19.5,0.4,,,ESE,28,07:14,17.1,67,,ESE,13,1016.2,17.9,48,,SSE,11,1015.4
,2022-04-19,10.8,19.6,0,,,SW,33,11:46,16.2,63,,S,9,1018.8,18.4,50,,WSW,19,1018.0
,2022-04-20,13.4,21.1,0.6,,,SSW,30,13:11,15.2,91,,ENE,9,1021.1,20.4,51,,SW,13,1020.9
,2022-04-21,11.5,21.2,0,,,ESE,24,11:08,16.9,59,,N,4,1027.4,18.9,40,,SE,11,1026.0
,2022-04-22,14.6,19.7,0,,,E,39,09:29,15.8,57,,E,19,1030.4,18.2,37,,SE,6,1028.0
,2022-04-23,11.3,23.5,0,,,ESE,43,19:38,16.3,55,,E,13,1029.0,22.9,38,,ESE,17,1025.5
,2022-04-24,16.2,27.0,0,,,ENE,39,10:35,22.3,49,,NE,17,1027.4,26.3,29,,ENE,17,1023.8
,2022-04-25,16.3,25.5,0,,,NE,30,12:10,21.0,42,,ENE,11,1022.7,24.1,36,,E,13,1018.0
,2022-04-26,17.9,21.7,0.2,,,E,41,17:20,20.0,57,,ENE,17,1014.7,20.4,58,,ENE,13,1011.3
,2022-04-27,15.1,22.6,0,,,ENE,24,21:23,20.5,65,,ENE,7,1011.6,21.8,61,,NE,9,1010.0
,2022-04-28,17.6,28.7,0,,,NW,37,14:53,21.1,60,,NNE,13,1012.1,27.3,37,,NW,24,1009.4
,2022-04-29,18.5,19.8,0.2,,,W,39,18:41,18.6,87,,WNW,2,1016.9,19.3,71,,NW,15,1016.2
,2022-04-30,14.9,19.7,1.4,,,WSW,39,01:11,17.7,46,,WSW,17,1023.6,18.6,48,,WSW,13,1023.0