"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for March 2022"
"Prepared at 13:02 UTC on Friday 19 August 2022   IDCJDW5081.202203"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-03-1,16.6,27.0,5.4,,,WSW,39,13:33,19.8,77,,SSE,4,1010.5,24.8,65,,WSW,20,1008.4
,2022-03-2,14.7,27.9,0,,,WSW,28,14:07,19.3,74,, ,Calm,1010.2,25.2,57,,WSW,15,1009.0
,2022-03-3,19.0,33.3,0,,,WSW,26,14:36,26.3,56,,NNE,9,1011.0,31.9,38,,W,15,1009.8
,2022-03-4,21.9,23.6,0,,,WSW,31,22:16,21.9,77,,SW,13,1012.1,21.6,70,,SW,13,1012.8
,2022-03-5,14.8,24.4,1.2,,,WSW,48,15:19,18.5,75,,S,11,1013.7,23.6,58,,SW,24,1013.4
,2022-03-6,16.0,23.7,0,,,ESE,39,10:32,17.1,64,,SSE,13,1019.8,22.4,42,,SSE,15,1017.5
,2022-03-7,15.0,24.4,0,,,S,44,17:02,18.6,71,,S,9,1016.5,24.0,51,,SSE,17,1015.4
,2022-03-8,15.3,23.2,0,,,SE,54,09:58,17.1,61,,SSE,15,1020.1,22.1,46,,S,20,1018.7
,2022-03-9,13.6,24.9,0,,,S,41,16:08,16.4,64,,SSE,11,1022.6,23.8,37,,SE,17,1019.7
,2022-03-10,13.5,26.3,0,,,ESE,28,02:29,16.7,54,,E,9,1022.7,25.2,27,,E,11,1019.4
,2022-03-11,11.6,26.2,0,,,SW,28,15:22,18.3,54,, ,Calm,1020.2,25.5,36,,SW,15,1017.6
,2022-03-12,13.4,29.6,0,,,SW,28,17:13,20.1,50,, ,Calm,1019.1,28.3,23,,WSW,17,1016.5
,2022-03-13,16.6,33.2,0,,,SW,26,14:53,24.1,28,,NNE,6,1017.1,31.9,14,,WSW,17,1015.1
,2022-03-14,22.2,35.3,0,,,E,39,19:00,23.7,35,,S,2,1015.0,33.6,13,,SW,17,1012.6
,2022-03-15,21.3,34.4,0,,,NE,31,22:41,24.2,52,,N,11,1014.5,33.4,23,,W,11,1010.6
,2022-03-16,22.7,27.5,0,,,ENE,39,19:41,25.1,53,,NNE,13,1011.8,22.9,70,,NW,13,1011.8
,2022-03-17,17.0,29.1,10.4,,,SW,33,15:49,21.6,78,, ,Calm,1014.8,28.6,38,,WSW,17,1013.7
,2022-03-18,15.3,29.1,0,,,SSE,26,15:27,19.9,68,,SW,4,1019.9,28.3,37,,SSE,9,1017.5
,2022-03-19,16.7,33.7,0,,,E,31,00:37,21.9,58,, ,Calm,1016.2,33.1,32,,WNW,11,1013.8
,2022-03-20,19.2,31.3,0,,,WSW,26,15:29,22.5,63,, ,Calm,1016.6,29.1,44,,WSW,15,1014.9
,2022-03-21,15.9,29.7,0,,,W,24,12:14,20.6,65,,NE,7,1015.0,25.8,52,,WSW,13,1013.2
,2022-03-22,17.6,23.3,0,,,SSE,30,17:19,21.6,74,, ,Calm,1012.2,20.6,79,,WSW,9,1011.5
,2022-03-23,13.5,23.0,0.8,,,W,31,14:42,16.6,76,,SSE,11,1017.8,22.5,46,,W,15,1016.0
,2022-03-24,11.7,23.7,0,,,SSW,46,15:43,16.5,50,,NE,2,1018.9,21.1,43,,SW,20,1017.8
,2022-03-25,11.7,23.7,0,,,SSE,31,15:50,16.4,57,,SE,9,1023.5,22.7,35,,ESE,11,1020.6
,2022-03-26,12.2,26.5,0,,,E,28,22:29,16.9,69,, ,Calm,1021.5,24.7,41,,SSW,13,1017.4
,2022-03-27,16.9,31.8,0,,,NW,28,14:17,22.2,45,,NNE,6,1015.5,30.9,20,,W,15,1012.8
,2022-03-28,16.4,27.4,0,,,WSW,28,15:59,21.0,49,,SW,4,1016.3,27.2,41,,WSW,17,1014.9
,2022-03-29,12.5,24.0,0,,,SSE,31,18:23,17.4,73,,NNW,4,1017.0,23.4,48,,WSW,15,1015.1
,2022-03-30,13.6,22.9,0,,,S,39,13:22,16.7,65,,SSE,9,1020.1,22.0,41,,S,17,1019.7
,2022-03-31,14.6,21.0,0,,,SSE,43,08:46,15.6,50,,SSE,9,1026.3,20.8,38,,SE,13,1023.9